attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
HAVCR1,111,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
HAVCR1,111,Bladder Cancer,HTM,Down,SW780,29340052
GAD1,114,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
PLEKHA6,116,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
ATP9A,117,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, H2170","25881239, 25881239"
ATP9A,117,Luminal B Breast Cancer,HTM,Up,BT-474,19353633
ATP9A,117,Luminal A Breast Cancer,"HTM, HTM, HTM","Up, Down, Up","MCF7, MCF7, T47D","19353633, 31501409, 19353633"
STYXL1,119,Non Small Cell Lung Cancer,HTM,Down,H292,34059086
NOX5,120,Triple Negative Breast Cancer,HTM,Down,SUM149PT,31709178
F5,121,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM, HTM","Up, Up, Up, Up, Up","A549, A549, A549, A549, H2170","35229723, 29416721, 29416721, 25881239, 25881239"
PRKAA2,124,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, H2170","25881239, 25881239"
NWD1,127,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
PTGES3,128,Pancreatic Cancer,"HTM, HTM","Down, Down","L3.6pl, L3.6sl","32503348, 32503348"
SERPINA3,132,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
CBX5,133,Gastric Cancer,"HTM, HTM","Down, Down","NCI-N87, SNU484","30696080, 30696080"
ITGB8,135,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM","Up, Down, Down, Down","A549, A549, A549, H2170","29416721, 25881239, 25881239, 25881239"
ITGB8,135,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
ITGB8,135,Luminal A Breast Cancer,"HTM, HTM","Up, Up","MCF7, MCF7","34680485, 31501409"
EIF5B,136,Colon Cancer,HTM,Up,Primary,21788403
PKDCC,138,Non Small Cell Lung Cancer,HTM,Down,A549,34059086
PKDCC,138,Luminal A Breast Cancer,HTM,Down,MCF7,31501409
