attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
SEMA7A,50,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Down, Down","A549, A549, H2170","25881239, 25881239, 25881239"
SEMA7A,50,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
SEMA7A,50,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
ARHGAP21,52,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
PRKAA2,55,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, H2170","25881239, 25881239"
OLA1,59,Pancreatic Cancer,"HTM, HTM","Down, Down","L3.6pl, L3.6sl","32503348, 32503348"
OLA1,59,Luminal A Breast Cancer,HTM,NA,MCF7,29221160
MAPK14,60,Skin Cancer,"HTM, HTM","Up, Up","Primary, Primary","24098529, 24098529"
SERPINA3,62,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
ARPC2,63,Pancreatic Cancer,HTM,Down,PC1J,34168259
FBXL2,64,Non Small Cell Lung Cancer,HTM,Down,H2170,25881239
XPO1,66,Pancreatic Cancer,"HTM, HTM, HTM","Down, Down, Down","L3.6pl, L3.6sl, PC1J","32503348, 32503348, 34168259"
XPO1,66,Luminal A Breast Cancer,HTM,NA,MCF7,29221160
ABI2,67,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
PANK2,71,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
ANKH,72,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
ANKH,72,Colon Cancer,HTM,Up,Primary,28881576
IGF2BP3,77,Non Small Cell Lung Cancer,HTM,Up,A549,25881239
IGF2BP3,77,Pancreatic Cancer,"HTM, HTM","Up, Down","PANC-1, PC1J","27746256, 34168259"
MYO10,78,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
MYO10,78,Gastric Cancer,"HTM, HTM","Down, Down","NCI-N87, SNU484","30696080, 30696080"
NRIP1,80,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
COG6,81,Luminal A Breast Cancer,HTM,Up,MCF7,31501409
BHLHB9,82,Hepatic Cancer,"HTM, HTM, HTM","Up, Up, Up","Huh7, KMCH-1, WRL68","21618577, 21618577, 21618577"
ZFAND3,83,Luminal A Breast Cancer,HTM,Up,MCF7,17911267
ST6GALNAC4,84,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
HIRA,86,Bladder Cancer,HTM,Up,T24,29340052
UHRF2,89,Luminal A Breast Cancer,HTM,NA,MCF7,29221160
CTNND1,91,Head and Neck Cancer,HTM,Down,CAL27,23903875
CTNND1,91,Pancreatic Cancer,"HTM, HTM, HTM","Up, Up, Down","L3.6pl, L3.6sl, PC1J","32503348, 32503348, 34168259"
HIRIP3,93,Non Small Cell Lung Cancer,HTM,Down,A549,34059086
SPATS2L,95,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
SH3BP2,98,Luminal A Breast Cancer,HTM,Down,MCF7,31501409
PPP2R2C,99,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, A549","25881239, 25881239"
MEMO1,101,Hepatic Cancer,"HTM, HTM, HTM","Up, Up, Up","Huh7, KMCH-1, WRL68","21618577, 21618577, 21618577"
EXT1,103,Non Small Cell Lung Cancer,"HTM, HTM","Down, Down","A549, H2170","25881239, 25881239"
EXT1,103,Luminal A Breast Cancer,"HTM, HTM/LTM","Up, Up","MCF7, MCF7","17911267, 29050299"
ABHD3,107,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
TMPO,108,Non Small Cell Lung Cancer,HTM,Up,A549,25881239
TMPO,108,Pancreatic Cancer,"HTM, HTM, HTM, HTM, HTM","Down, Down, Down, Down, Down","L3.6pl, L3.6sl, MIA-PaCa-2, MIA-PaCa-3, PC1J","32503348, 32503348, 34168259, 34168259, 34168259"
VWDE,110,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
RICTOR,111,Hepatic Cancer,"HTM, HTM, HTM","Up, Up, Up","Huh7, KMCH-1, WRL68","21618577, 21618577, 21618577"
KIF2A,113,Non Small Cell Lung Cancer,HTM,Down,H2170,25881239
CUTA,118,Pancreatic Cancer,"HTM, HTM, HTM","Up, Up, Down","L3.6pl, L3.6sl, PC1J","32503348, 32503348, 34168259"
STXBP4,119,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, A549","25881239, 25881239"
PPFIBP1,121,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
OSBPL10,122,Non Small Cell Lung Cancer,HTM,Down,A549,25881239
IGF2BP2,124,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Down, Down","A549, A549, H2170","25881239, 25881239, 25881239"
IGF2BP2,124,Pancreatic Cancer,HTM,Down,PC1J,34168259
CIRBP,127,Skin Cancer,HTM,Down,Primary,24098529
UCHL3,128,Non Small Cell Lung Cancer,HTM,Down,A549,25881239
ETV6,129,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
C1D,131,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
TFAP2A,133,Non Small Cell Lung Cancer,HTM,Down,H2170,25881239
MAP3K1,135,Triple Negative Breast Cancer,"HTM, HTM, HTM","Down, Down, Down","BT-549, BT-549, HCC1937","29352988, 29352988, 31709178"
F5,137,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM, HTM","Up, Up, Up, Up, Up","A549, A549, A549, A549, H2170","35229723, 29416721, 29416721, 25881239, 25881239"
