attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
POU5F1,136,Non Small Cell Lung Cancer,"HTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","Up, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","A549, 95D, 95D, 95D, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, A549, CALU-1, CL-141, H125, H125, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H1299, H157, H157, H1581, H1648, H1650, H1650, H1650, H1650, H1650, H1650, H1658, H1703, H1781, H1975, H1975, H1975, H1975, H1975, H1975, H1993, H2170, H2228, H226, H226, H23, H23, H23, H23, H23, H292, H3122, H3122, H322, H322, H358, H358, H358, H441, H441, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H460, H520, H520, H520, H520, H522, HCC1588, HCC1833, HCC827, HCC827, HCC827, HCC827, HCC827, HCC827, HCC827, HCC827, LC31, MOR, PC9, PC9, PC9, PC9, PC9, PC9, PC9, PC9, PC9, PC9, PC9, PC9, SPCA1, SPCA1, SPCA1, SPCA1, SPCA1, SPCA1, SPCA1, Primary, Primary, Primary, Primary","35229723, 30628703, 27766570, 27556038, 34168463, 34168463, 34063628, 33783940, 33539684, 34873829, 35229723, 28406482, 28179999, 32319573, 30878308, 28431267, 29344850, 29888108, 30485693, 32655789, 28861158, 30555330, 24333218, 21520032, 24101104, 26239272, 21124918, 29262597, 24356998, 28854941, 28534939, 29860718, 30816208, 33707423, 34163000, 33980809, 34949193, 34803670, 33721187, 26779808, 29387193, 32637578, 21425153, 21802163, 22370645, 23583374, 24013232, 24386189, 26517679, 29299167, 29299167, 29416721, 31207300, 31263095, 31928533, 33125096, 23022172, 23349823, 29254164, 30341415, 31282010, 20074550, 29299167, 24668028, 26261505, 33924205, 33068069, 33995625, 34400945, 33784109, 33670440, 33437165, 33468994, 34209829, 34277782, 34832951, 35044041, 34681614, 29017078, 26181204, 26181204, 24646078, 29144562, 26468775, 22300949, 26895954, 26940223, 26940223, 31201845, 29995950, 25003810, 29225473, 31368411, 28850563, 28850563, 28850563, 26675547, 22900142, 24101104, 27766570, 28035349, 29044153, 29138851, 29448000, 31024010, 32401390, 32612672, 32655321, 26546046, 27009878, 28787001, 31582014, 28456659, 31871777, 23009336, 22615765, 22825470, 21947321, 29753869, 20949018, 26081992, 29138851, 31638335, 30717421, 24646078, 33783940, 33539684, 34873829, 28431267, 30555330, 27542268, 21124918, 24008862, 30816208, 25669973, 33980809, 34803670, 32637578, 23583374, 27836540, 27836540, 28198062, 33125096, 34681614, 33468994, 34832951, 29144562, 22300949, 28850563, 28850563, 28850563, 26675547, 25279705, 32051483, 32401390, 32612672, 32655321, 25735977, 27556038, 31871777, 20949018, 26675547, 27009878, 26936993, 21124918, 29702194, 21124918, 24091605, 34803670, 30480362, 29753869, 31069016, 26468775, 29532558, 29888108, 33922104, 34475041, 32922547, 23009336, 35229723, 29995950, 33670440, 26517679, 34168463, 34168463, 26872057, 34063628, 21124918, 32509180, 29980786, 34209829, 26517679, 29950868, 26837769, 26837769, 26181204, 28456659, 21947321, 21124918, 35163585, 34832867, 34063628, 28406482, 28861158, 34635641, 32637578, 27281614, 28677037, 30111255, 32509180, 26885450, 30305725, 23022172, 23349823, 26901847, 33068069, 33550205, 34209829, 34349823, 26181204, 22300949, 28850563, 28850563, 28850563, 30305725, 25276790, 31397494, 31658996, 31717588, 24309934, 33707423, 33721187, 26936993, 32863772, 18952074, 26711929, 21124918, 21124918, 24091605, 33955683, 30305725, 33764690, 24489728, 28787001, 25871388, 21738704, 23349823, 31233201, 33764690, 31966561, 25960639, 31966561, 28901474, 33955683, 34771484, 34771484, 24489728, 30480362, 25871388, 29702194, 25960639, 25731617, 34949193, 25279705, 28035349, 22862169, 22300949, 24346092, 29158791, 28855609"
POU5F1,136,Luminal A Breast Cancer,"HTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","Up, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, MCF7, T47D, T47D, T47D, T47D, T47D, T47D, T47D, ZR-75-1","34464674, 29100426, 29749438, 35235236, 34052833, 34249423, 35029026, 33791297, 31736268, 31300015, 31760402, 29511337, 29601799, 29846560, 30188754, 30188754, 33731668, 33305893, 34362383, 34528694, 28839461, 28802057, 28823831, 29106390, 29243835, 29356693, 29750424, 29797562, 30080291, 30450766, 31501409, 31604679, 31695775, 31286834, 29185119, 29287960, 30482236, 29218545, 30335523, 31584203, 33634797, 34217266, 34298877, 34830485, 33511560, 34486791, 34803458, 31762819, 30239174, 29027990, 30214607, 31728117, 29044153, 30175027, 30340507, 30628646, 31693936, 30579251, 29509055, 35235236, 30326469, 31736268, 31300015, 34362383, 28802057, 29602199, 30613295"
POU5F1,136,Breast Cancer,"HTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","Up, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","Primary, HCC1569, HCC1806, LCC2, SUM190PT, ZR-75-30, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary","30559934, 34889737, 34889737, 30450766, 28703802, 30478301, 29660692, 28835684, 29185119, 31693936, 31693936, 31728117, 30359767, 33340428, 35402219, 35506041"
POU5F1,136,Pancreatic Cancer,"LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","PANC-1, Primary, AsPC1, AsPC1, AsPC1, AsPC1, AsPC1, AsPC1, AsPC1, AsPC1, AsPC1, AsPC1, BxPC-3, BxPC-3, BxPC-3, BxPC-3, BxPC-3, BxPC-3, BxPC-3, BxPC-3, BxPC-3, BxPC-3, Capan-1, Capan-1, Capan-1, CFPAC-1, CFPAC-1, CFPAC-1, HPAC, HPAF-II, L3.6pl, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-2, MIA-PaCa-3, PaCa-44, PaCa-44, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, PANC-1, Patu8988, PC1J, PK-1, Su86.86, SW1990, SW1990, SW1990, SW1990, SW1990, SW1990, SW1990, SW1990, SW1990, Primary, Primary","28775772, 26451606, 28703793, 32575925, 27996162, 30853342, 34163012, 33728488, 35241126, 26391180, 27996162, 30119228, 28703793, 24305593, 31713003, 33082357, 30853342, 32766132, 29048549, 31713003, 22963768, 29719602, 23026911, 32781084, 30819221, 33737813, 30853342, 29100320, 30395429, 30853342, 26840266, 35158144, 32575925, 35428310, 25015789, 30341797, 30341797, 29179494, 28490735, 34168259, 23073476, 24719318, 24734907, 26840266, 29719602, 34168259, 35391557, 34168259, 29975934, 35158144, 28703793, 27996162, 29937934, 23872274, 24305593, 24040121, 23026911, 29444383, 30954649, 29444383, 35428310, 34551785, 33708436, 25015789, 30341797, 30341797, 30535490, 32766132, 29179494, 30819221, 33915247, 34163012, 33728488, 35241126, 34446696, 24689055, 22993328, 32605166, 24521357, 26298849, 26840266, 27505247, 27996162, 29434962, 30045656, 30954649, 31027735, 31508487, 23815678, 26689865, 31508487, 34168259, 31027735, 22963768, 33737813, 30954649, 32781084, 25003666, 26391180, 31508487, 30954649, 30819221, 22963768, 26609473, 24785258"
POU5F1,136,Bladder Cancer,"LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","5637, 5637, 5637, EJ-28, EJ-28, EJ-28, EJ-28, EJ-28, HT-1197, HT-1376, HTB-9, J-82, J-82, J-82, RT-4, SW780, T24, T24, T24, T24, T24, T24, UM-UC3, UM-UC3, UM-UC3, UM-UC3, UM-UC3, UM-UC3, UM-UC3, UM-UC3, Primary, Primary","35008872, 29559853, 30592142, 28870814, 32661469, 31180522, 33552265, 33552265, 35008872, 26452033, 26054707, 24649144, 35116788, 26647959, 35116788, 18787416, 22343321, 29559853, 26647959, 30592142, 24337040, 25020236, 28870814, 32661469, 31180522, 33552265, 33552265, 31239709, 26452033, 25020236, 17205510, 19961489"
POU5F1,136,Glioblastoma,"LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","A-172, DBTRG-05MG, LN-18, LN-229, U-251, U-87MG, U-87MG, U-87MG, U-87MG, U-87MG, U-87MG, U-87MG, U-87MG, U-87MG, Primary","34036375, 33317545, 29069805, 29228694, 33575080, 34408983, 32578777, 33691197, 31179686, 28394339, 29228694, 32360621, 34235925, 30175027, 30701538"
POU5F1,136,Head and Neck Cancer,"LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","A-253, Ca9-22, CAL27, CAL27, CAL27, CAL27, CAL27, CAL27, CAL27, CAL27, CAL27, CAL27, CAL27, CAL27, CaLH3, Detroit-562, FaDu, FaDu, FaDu, FaDu, FaDu, FaDu, FaDu, FaDu, FaDu, FaDu, FaDu, HEp-2, HEp-2, HEp-2, HEp-2, HEp-2, HN-1, HN4, HN4, HSC-2, HSC-3, HSC-3, HSC-3, HSC-4, JLO-1, KUMA-1, OECM1, OECM1, OECM1, OM-1, QLL-1, SAS, SAS, SAS, SAS, SAS, SCC-131, SCC-131, SCC-15, SCC-15, SCC-25, SCC-25, SCC-25, UD-SCC-1, UD-SCC-1, UM-SCC-1, UM-SCC-1, UM-SCC-103, UM-SCC-10B, UM-SCC-11B, UM-SCC-11B, UM-SCC-12, UM-SCC-12, UM-SCC-14B, UM-SCC-22A, UM-SCC-22B, UM-SCC-22B, UM-SCC-38, UM-SCC-38, UM-SCC-46, UM-SCC-47, UM-SCC-9, UT-SCC-22, UT-SCC-38, UT-SCC-38, UT-SCC-9, UT-SCC-9, UT-SCC-9, VU-1365, WSU-HN19, WSU-HN26, WSU-HN30, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary, Primary","24612587, 24475244, 29575240, 34502158, 25871396, 31399556, 34795388, 32194902, 31585633, 24112466, 28093940, 27380877, 27380877, 27380877, 25212757, 24874475, 29228308, 32708734, 31382448, 31382448, 34502158, 25871396, 31399556, 24201869, 32206093, 28093940, 24874475, 29228308, 27380877, 27380877, 27380877, 26021266, 25024430, 34795388, 32194902, 23992541, 27002147, 26448762, 22847005, 20651344, 30621095, 23992541, 22692956, 22422628, 24201869, 26399460, 32327629, 24475244, 22692956, 33238517, 22422628, 23843890, 29575240, 31585633, 35013621, 32327629, 34795388, 35013621, 32327629, 21304586, 26323460, 28423495, 24533098, 25428916, 28423495, 21304586, 26323460, 32773768, 31742606, 25428916, 25379016, 24709421, 25379016, 32773768, 25379016, 25379016, 24533098, 26323460, 21304586, 31382448, 31382448, 26323893, 26323893, 21304586, 25340704, 25024430, 25024430, 35313655, 32019273, 32019273, 23876835, 22426199, 32019273, 26556875, 30528285, 22640830, 20036608, 19450560, 22333601, 32850316, 21167769, 26239260, 21292542, 32983794, 35140342, 22847005, 25871396, 32206093"
POU5F1,136,Skin Cancer,"LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","A-375, A-375, A-375, A-375, A-375, D10, MA-MEL-66A, SK-MEL-28, SK-MEL-28, WM115, WM266-4, WM266-4, Primary, Primary","29693169, 29693169, 30717768, 30558661, 30522558, 26208390, 30558661, 30717768, 30558661, 23915418, 31817719, 26554153, 30626524, 34433195"
POU5F1,136,Gastric Cancer,"LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM, LTM","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA","AGS, AGS, AGS, AGS, AGS, AGS, AGS, AGS, AGS, AGS, BGC-823, BGC-823, BGC-823, BGC-823, BGC-823, BGC-823, BGC-823, BGC-823, BGC-823, BGC-823, HFE-145, HGC-27, HGC-27, KATO-III, KATO-III, KATO-III, MGC-803, MGC-803, MGC-803, MGC-803, MGC-803, MGC-803, MGC-803, MGC-803, MGC-803, MGC-803, MKN28, MKN28, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, MKN45, NCI-N87, NCI-N87, NCI-N87, NCI-N87, NCI-N87, PAMC82, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SGC-7901, SNU16, SNU16, SNU484, SNU5, SNU5, SNU5, SNU638, SNU638, SNU-668, ST2957, XN0422, Primary, Primary, Primary, Primary, Primary, Primary","31261030, 34278502, 28461325, 32606358, 33288885, 29559846, 27735991, 29512256, 32633423, 34173116, 33731207, 34427968, 33579380, 28440445, 34090492, 34350176, 30624124, 31517391, 33798550, 34173116, 33288885, 30007956, 29559846, 32606358, 33288885, 31233198, 28076840, 32189359, 32638620, 32638620, 28415621, 27524415, 28337375, 28529558, 28428713, 28893318, 28529558, 31632151, 28430578, 32160650, 27602437, 34173116, 30843262, 31345097, 27279633, 29212193, 34278502, 34646768, 34845198, 27644439, 28337375, 28461325, 33288885, 27878307, 30543303, 27511210, 27735991, 29512256, 32633423, 33725258, 32203224, 32099405, 25081334, 25669984, 28692437, 32863948, 28461325, 32606358, 25669984, 30543303, 30696080, 33067426, 33731207, 34427968, 34173116, 28076840, 30843262, 31261030, 33579380, 28415621, 27279633, 34090492, 34350176, 34646768, 34657624, 34845198, 27644439, 29422082, 30007956, 34802261, 30624124, 31517391, 29662192, 33067426, 31073886, 30284938, 33798550, 28440445, 31073886, 30284938, 32863948, 32606358, 32863948, 29662192, 32788883, 29422082, 28356964, 30628031, 33986804, 32350414"
POU5F1,136,Luminal B Breast Cancer,"LTM, LTM, LTM","NA, NA, NA","BT-474, BT-474, BT-474","35195687, 28722778, 30224376"
