attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
NBAS,107,Colon Cancer,HTM,Up,Primary,21788403
E2F3,123,Dukes Type A Colon Cancer,LTM,NA,SW1116,23674142
DNMBP,126,Non Small Cell Lung Cancer,HTM,Down,H2170,25881239
DNMBP,126,Luminal A Breast Cancer,HTM,Down,MCF7,31501409
PRSS1,128,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM, HTM","Up, Down, Down, Down, Down","A549, A549, A549, H2170, H2170","33670440, 25881239, 25881239, 25881239, 25881239"
PRSS1,128,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
B2M,131,Pancreatic Cancer,"HTM, HTM","Up, Up","L3.6pl, L3.6sl","32503348, 32503348"
B2M,131,Luminal A Breast Cancer,HTM,Down,MCF7,31501409
B2M,131,Colon Cancer,HTM,Up,Primary,20530554
HOXC9,133,Hepatic Cancer,"HTM, HTM, HTM","Up, Up, Up","Huh7, KMCH-1, WRL68","21618577, 21618577, 21618577"
HOXC9,133,Skin Cancer,HTM,Down,Primary,24098529
USP37,134,Luminal A Breast Cancer,LTM,NA,MCF7,30482232
DKK1,135,Non Small Cell Lung Cancer,HTM,Down,H2170,25881239
DKK1,135,Colon Cancer,HTM,Up,HT-29,17932721
DKK1,135,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
DKK1,135,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
